"","HC13_Healthy","HC14_Healthy","HC20_Healthy","HC22_Healthy","HC25_Healthy","M1_MECFS","M10_MECFS","M11_MECFS","M12_MECFS","M15_MECFS"
"Q9NZP8_FALSE",NA,NA,NA,NA,NA,NA,NA,"14.88819",NA,NA
"P04196_TRUE","100","100","99.09374","98.41856","100","100","99.40576","98.78143","100","100"
"P04196_FALSE",NA,NA,"0.9062626","1.581444",NA,NA,"0.5942407","1.218573",NA,NA
"P02760_TRUE","100","100","100","100","100","100","100","100","100","100"
"P49238_TRUE","95.56741","98.02538","90.36482","96.09274","91.99823","94.49708","94.2968","98.681","87.77795","92.02064"
"P49238_FALSE","4.432589","1.974615","9.635181","3.907264","8.001772","5.502918","5.703197","1.319003","12.22205","7.979362"
"P04003_TRUE","100","100","100","100","100","95.90088","100","100","100","100"
"P04003_FALSE",NA,NA,NA,NA,NA,"4.099117",NA,NA,NA,NA
"O42043_FALSE","100","100","19.52397","51.47231",NA,NA,NA,NA,NA,"100"
"O42043_TRUE",NA,NA,"80.47603","48.52769",NA,NA,"100",NA,"100",NA
"P27918_TRUE","100","100","100","100","100","100","100","100","100","100"
"Q92496_TRUE","100",NA,"100",NA,NA,NA,NA,NA,NA,NA
"P04217_TRUE","100","100","100","100","100","100","100","100","100","100"
"P04180_TRUE","100","100","100",NA,"100","44.18507","100","100","100","100"
"P04180_FALSE",NA,NA,NA,NA,NA,"55.81493",NA,NA,NA,NA
"P00751_TRUE","100","100","100","100","100","100","100","100","100","100"
"P02671_FALSE","100","38.95617",NA,NA,NA,"100","100","81.9545","53.64007",NA
"P02671_TRUE",NA,"61.04383",NA,NA,NA,NA,NA,"18.0455","46.35993","100"
"P02745_TRUE","100","100","84.57256","100","100","100","100","100","100","100"
"P02745_FALSE",NA,NA,"15.42744",NA,NA,NA,NA,NA,NA,NA
"P01023_FALSE","56.46074","74.32311","52.75986","68.56476","37.57915","56.74585","51.38442","47.50133","68.68417","69.6317"
"P01023_TRUE","43.53926","25.67689","47.24014","31.43524","62.42085","43.25415","48.61558","52.49867","31.31583","30.3683"
"P35542_TRUE","100",NA,NA,NA,NA,NA,NA,NA,NA,NA
"P02679_TRUE","95.46215","88.60638","97.34794","97.16084","88.50163","95.46739","90.715","94.94347","100","93.22795"
"P02679_FALSE","4.537849","11.39362","2.652063","2.839164","11.49837","4.532613","9.284996","5.056533",NA,"6.772047"
"P19827_TRUE","100",NA,"100",NA,"100","100","100","100","100",NA
"P01009_TRUE","100",NA,"100","100",NA,"100","100","100","100","100"
"P08697_FALSE","100",NA,"78.99284",NA,NA,NA,NA,NA,NA,"100"
"P08697_TRUE",NA,NA,"21.00716",NA,NA,NA,NA,NA,NA,NA
"P21439_FALSE","100",NA,NA,NA,NA,NA,"100",NA,NA,NA
"P04275_TRUE",NA,"100","100",NA,"100",NA,"100",NA,"100","33.15331"
"P04275_FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"66.84669"
"P02774_TRUE",NA,"100",NA,"100","100",NA,"100","100","100","100"
"Q9HCH5_TRUE",NA,"100","100",NA,NA,NA,"100",NA,NA,NA
"P08519_TRUE",NA,"100","100",NA,"100",NA,NA,"100","100",NA
"P05186_TRUE",NA,"100",NA,"100",NA,NA,NA,NA,"100",NA
"O14791_TRUE",NA,"100",NA,NA,NA,NA,NA,NA,NA,NA
"Q08380_FALSE",NA,NA,"100",NA,"100","11.13505","52.17926",NA,NA,NA
"Q08380_TRUE",NA,NA,NA,NA,NA,"88.86495","47.82074","100",NA,NA
"P07357_TRUE",NA,NA,"100","100","100","100","100","100","100","100"
"P04070_TRUE",NA,NA,"100","100","100","100","100","100",NA,"100"
"Q96KN2_TRUE",NA,NA,"100","100","100","100","100","100","100","100"
"O60271_TRUE",NA,NA,"100",NA,NA,NA,NA,NA,NA,NA
"Q9UGM5_TRUE",NA,NA,"100","100",NA,"100",NA,NA,NA,NA
"P02748_TRUE",NA,NA,"100",NA,NA,"100",NA,"100",NA,NA
"Q96PD5_TRUE",NA,NA,NA,"100","100",NA,"100",NA,NA,NA
"O00192_TRUE",NA,NA,NA,NA,NA,"100",NA,NA,NA,NA
"Q12816_TRUE",NA,NA,NA,NA,NA,NA,"100","100",NA,"100"
"Q13797_TRUE",NA,NA,NA,NA,NA,NA,"100","100",NA,NA
"Q9HDC9_TRUE",NA,NA,NA,NA,NA,NA,NA,"100",NA,"100"
"P11279_TRUE",NA,NA,NA,NA,NA,NA,NA,NA,"100",NA
"P00742_TRUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"100"
